"Titles","Abstracts","Sector"
"Security and privacy of big data for social networking services in cloud","Big Data (BD) is of great importance especially in wireless telecommunications field. Social Networking (SNg) is one more fast-growing technology that allows users to build their profile and could be described as web applications. Both of them face privacy and security issues …","Public administration and defence, compulsory social security"
"[BOOK][B] The Five Technological Forces Disrupting Security: How Cloud, Social, Mobile, Big Data and IoT are Transforming Physical Security in the Digital Age","The Five Technological Forces Disrupting Security: How Cloud, Social, Mobile, Big Data and IoT are Transforming Physical Security in the Digital Age explores the major technological forces currently driving digital disruption in the security industry, and what they foretell for the …","Public administration and defence, compulsory social security"
"Personnel security system of nuclear power plants using machine learning for psychological, behavioral and social media activity analysis.","In this research, a novel Personnel Security Model is designed and demonstrated for detecting suspicious people in an organization especially for nuclear power plants. The proposed system composed of three subsystems and a final decision making system such …","Public administration and defence, compulsory social security"
"[BOOK][B] Social Network Forensics, Cyber Security, and Machine Learning","ISSN 2191-530X ISSN 2191-5318 (electronic) SpringerBriefs in Applied Sciences and Technology ISSN 2196-8845 ISSN 2196-8853 (electronic) SpringerBriefs in Forensic and Medical Bioinformatics ISBN 978-981-13-1455-1 ISBN 978-981-13-1456-8 (eBook) …","Public administration and defence, compulsory social security"
"Security and privacy protection of social networks in big data era","Big Data draws the attention not only because of its great power but for the severe security and privacy challenges it brings. With the sources from various formats of user generated contents like digital video, blogging, forms, online social conversations, and so on, Big Data  …","Public administration and defence, compulsory social security"
"[PDF][PDF] 90. Exploration and Development of Public Service of Human Resources and Social Security Based on Big Data","In the exploration of public service system in China, human resources protection and social security are important parts of China's security system. With the development of science and technology, all fields have begun to change due to the huge data resources with the arrival …","Public administration and defence, compulsory social security"
"Social Public Security Management in Intelligent City Based on Fast Big Data Analysis","Social public security management is an important component in the current construction of intelligent cities in China. There have been scale construction of information system for social public security management, which has been widely applied, generating abundant …","Public administration and defence, compulsory social security"
"Bridging machine learning and cryptography in defence against adversarial attacks","In the last decade, deep learning algorithms have become very popular thanks to the achieved performance in many machine learning and computer vision tasks. However, most of the deep learning architectures are vulnerable to so called adversarial examples. This …","Public administration and defence, compulsory social security"
"Machine Learning and Data Mining for IPv6 Network Defence","In future battles, the warfighter will of necessity require more and more networked devices to perform a broad range of tasks. It has been predicted that by the year 2020, there will be 20 billion Internet-of-Things (IoT) devices (and more than 6.2 billion today)(N. Dragoni, 2017) …","Public administration and defence, compulsory social security"
"Myths of automation and their implications for military procurement","Several mythical beliefs surround military automation, including the belief that automation reduces manpower needs, that it requires less training for operators, and that it reduces errors. The unbridled enthusiasm for automation exhibited by some technologists–and …","Public administration and defence, compulsory social security"
"Artificial Intelligence Military Robots","Robots have been around for some time now, and artificial intelligence (AI) is sweeping the world. Combining these technologies to make artificial intelligence robots, that are capable of interaction with humans, is where research and development is headed. Once fully …","Public administration and defence, compulsory social security"
"Identifying probable post-traumatic stress disorder: applying supervised machine learning to data from a UK military cohort","Background: Early identification of probable post-traumatic stress disorder (PTSD) can lead to early intervention and treatment. Aims: This study aimed to evaluate supervised machine learning (ML) classifiers for the identification of probable PTSD in those who are serving, or …","Public administration and defence, compulsory social security"
"… the domain of technology impact user trust? Investigating trust in automation across different consumer-oriented domains in young adults, military, and older adults","Trust has been shown to be a determinant of automation usage and reliance. Thus, understanding the factors that affect trust in automation has been a focus of much research. Despite the increased appearance of automation in consumer-oriented domains, the …","Public administration and defence, compulsory social security"
"Earthmoving Construction Automation with Military Applications: Past, Present and Future","Amongst increasing innovations in frontier engineering sciences, the advancements in Robotic and Autonomous Systems (RAS) has brought about a new horizon in construction applications. There is evidence of the increasing interest in RAS technologies in the civil …","Public administration and defence, compulsory social security"
"How viable is international arms control for military artificial intelligence? Three lessons from nuclear weapons","Many observers anticipate “arms races” between states seeking to deploy artificial intelligence (AI) in diverse military applications, some of which raise concerns on ethical and legal grounds, or from the perspective of strategic stability or accident risk. How viable are …","Public administration and defence, compulsory social security"
"[PDF][PDF] Possibilities and challenges for artificial intelligence in military applications","Recent developments in artificial intelligence (AI) have resulted in a breakthrough for many classical AI-applications, such as computer vision, natural language processing, robotics, and data mining. Therefore, there are many efforts to exploit these developments for military  …","Public administration and defence, compulsory social security"
"[PDF][PDF] Professor Evans PAVS 4500 9 December 2018 Artificial Intelligence in the United States Military: Exploring Lethal Autonomous Weapons","The days of waging and winning war by simply having the largest military are over. A military must be trained, highly skilled, and possess weapons that will undeniably overpower any adversary. Nations, especially China and the United States (US), have accordingly begun …","Public administration and defence, compulsory social security"
"Condition monitoring of engine lubrication oil of military vehicles: a machine learning approach","Lubrication oil plays an important role in maintaining the health and performance of a land vehicle engine. Accurate condition monitoring of lubrication oil enables an effective predictive maintenance regime to be established. This can extend engine life as well as …","Public administration and defence, compulsory social security"
"War data. Big data and algorithms used by the military","“Big data and algorithms” devices were integrated into the US military in the 2000s. In Afghanistan and Iraq, the armed forces used them to detect “insurgents” within the population and to predict new “insurrections.” These devices have been used to automate …","Public administration and defence, compulsory social security"
"Artificial Intelligence, Robotics, Ethics, and the Military: A Canadian Perspective.","Defense and security organizations depend upon science and technology to meet operational needs, predict and counter threats, and meet increasingly complex demands of modern warfare. Artificial intelligence and robotics could provide solutions to a wide range of …","Public administration and defence, compulsory social security"
"Research on the Optimization of Military Supplies under Big Data Background","On the basis of analyzing the characteristics of big data technology and combining the actual demand of military demand industry in our army, this paper constructs a comprehensive analysis environment of big data for military demand, and on this basis …","Public administration and defence, compulsory social security"
"Can Big Data Forecast North Korean Military Aggression?","Can textual analysis improve statistical prediction of risky geopolitical events? North Korea is the greatest source of geopolitical risk for South Korea due to the former's unpredictable and secretive military actions against the latter. We find that the tone of English language …","Public administration and defence, compulsory social security"
"Analysis of Military Academy Smart Campus Based on Big Data","This paper compares the digital campus with the smart campus and analysis the framework of smart campus in the big data environment, based on the actual characteristics of military academies. The framework utilizes the information technologies such as Internet of Things …","Public administration and defence, compulsory social security"
"Condition monitoring of engine lubrication oil of military vehicles: A machine learning approach","Lubrication oil plays an important role in maintaining the health and performance of a land vehicle engine. Accurate condition monitoring of lubrication oil enables an effective predictive maintenance regime to be established. This can extend engine life as well as …","Public administration and defence, compulsory social security"
"Facilitation of Trust in Automation: A Qualitative Study of Behaviour and Attitudes Towards Emerging Technology in Military Culture","The research in this field is limited due to the inherent technological limitations of existing systems, of which has saturated the literature at this point (Barnes, et al., 2014). The core of existing research centres along assessment of emerging and novel interfaces for the pursuit …","Public administration and defence, compulsory social security"
"Two Lessons from Nuclear Arms Control for the Responsible Governance of Military Artificial Intelligence","New technologies which offer potential strategic or military advantages to state principals can disrupt previously stable power distributions and global governance arrangements. Artificial intelligence is one such critical technology, with many anticipating 'arms races' …","Public administration and defence, compulsory social security"
"Investigation into maritime military platform hull defects automation of sensors and processing: Research-in-progress","Management of maritime military platform life is a real challenge for operators and maintainers. One of the major problems is how to capture cost effective information about the hull defect and predict the remaining life? This paper will focus on the automation process …","Public administration and defence, compulsory social security"
"Artificial Intelligence Within the Military Domain and Cyber Warfare","The potential uses of machine learning and artificial intelligence in the cyber security domain have had a recent surge of interest. Much of the research and discussions in this area primarily focuses on reactive uses of the technology such as enhancing capabilities in …","Public administration and defence, compulsory social security"
"Application of Big Data Technology in Scientific Research Data Management of Military Enterprises","Scientific research data has an important strategic position for the development of enterprises and countries, and is an important basis for management to conduct strategic research and decision-making. Compared with the Internet industry, big data technology …","Public administration and defence, compulsory social security"
"The Impact of a BIG DATA Decision Support Tool on Military Logistics: MEDICAL ANALYTICS MEETS THE MISSION.","Using big data and predictive analytics, more segments of the US military will be able to create decision support tools that help them not only to carry out their missions more efficiently, but also to streamline their logistical requirements. Within the military's medical …","Public administration and defence, compulsory social security"
"Machine learning techniques for autonomous agents in military simulations—Multum in parvo","In military simulations, software agents are used to represent individuals, weapon platforms or aggregates thereof. Modeling the behavioral capabilities and limitations of such agents may be time-consuming, requiring extensive interaction with subject matter experts and …","Public administration and defence, compulsory social security"
"Insights for the third offset: Addressing challenges of autonomy and artificial intelligence in military operations","CNA conducts analysis for the US Navy, the Department of Defense (DOD), and other sponsors, ranging across policy, strategy, organizational processes, technical performance of military systems, and current operations. Because of the expected impact of autonomy …","Public administration and defence, compulsory social security"
"Research on Military Logistics based on Big Data","This document gives formatting instructions for authors preparing papers for publication. With the arrival of the era of big data, the mature use of cloud computing and data mining technology, the big data mode have been widely applied in logistics. For military logistics, a …","Public administration and defence, compulsory social security"
"Modeling and Simulation for the Automation of Aerial Refueling of Military Transport Aircraft with the Probe-and-Drogue System","This paper presents the modeling and simulation activities currently conducted at DLR to support aerial refueling automation research activities. During the air-to-air refueling maneuver the tanker and receiver aircraft need to fly very close to each other, which induces …","Public administration and defence, compulsory social security"
"Discussion on Approaches and Method of Cultivation of Talents in Military Big Data","Military postgraduate education is an important propeller of the transformation of combat power generation model. It is the cornerstone of the army's innovation system and innovation ability. It is the main basis for the construction of the high-level military talent. It …","Public administration and defence, compulsory social security"
"Classification of Military Aircraft in Real-time Radar Systems based on Supervised Machine Learning with Labelled ADS-B Data","Air surveillance is usually based on real-time radar tracking systems, which are able to provide object positions, kinematics and a short time history. Due to the density of the air picture, air traffic controllers normally focus on the actual object kinematics and the full …","Public administration and defence, compulsory social security"
"[PDF][PDF] Developments in Artificial Intelligence–Opportunities and Challenges for Military Modeling and Simulation","One of the principal themes the NATO Science and Technology Organization (STO) is fostering in 2017 is"" Military Decision Making using the tools of Big Data and Artificial Intelligence (AI)"". Simulation might play a significant role to play in these developments as it …","Public administration and defence, compulsory social security"
"Using Artificial Intelligence to Minimize Information Overload and Cognitive Biases in Military Intelligence","Information overload and cognitive biases are two challenges analysts face in the quest to produce timely intelligence. In today's digital world, analysts have access to more information than their human brains can process. Analysts draw on their personal …","Public administration and defence, compulsory social security"
"Automation of Testing Military Avionics Mission Critical Software","Ahstract-This paper brings out the Test Automation framework for testing Mission Critical software of Mission Computer. The Mission Computer is a manager of the complete Avionics systems which include multiple sensors, weapon management, flight management system …","Public administration and defence, compulsory social security"
"Are We Flooding Pilots with Data?–Effects of Situational Awareness Automation Support Concepts on Decision-Making in Modern Military Air Operations","Within highly dynamic situations, the amount of relevant information that a pilot needs to process to make an informed decision can be substantial. With an ever increasing amount of data available to the pilot there is a real risk that not all relevant data can be taken into …","Public administration and defence, compulsory social security"
"WHEN SOMETHING HAS TO GIVE: The intersection of Artificial Intelligence, Military Decision-Making and International Humanitarian Law","This thesis explores the intersection of three disciplines: military normativity, international humanitarian law, and artificial intelligence, focusing specifically on intelligent systems that assist superiors in conducting the military decision-making process. It explains the extent to …","Public administration and defence, compulsory social security"
"Artificial intelligence, ethics and human values: the cases of military drones and companion robots","Can artificial intelligence (AI) be more ethical than human intelligence? Can it respect human values better than a human? This article examines some issues raised by the AI with respect to ethics. The utilitarian approach can be a solution, especially the one that uses …","Public administration and defence, compulsory social security"
"Research on the Cultivation Model for Civil-military Integrated Artificial Intelligence Technology Talents","Artificial intelligence is the strategic technology that leads the future, and it is also one of the fastest growing technologies today. The development of artificial intelligence technology has a great influence on the development of society, the standard of living of the people and …","Public administration and defence, compulsory social security"
"[CITATION][C] Battlefield Singularity: Artificial Intelligence, Military Revolution, and China's Future Military Power","[CITATION][C] Automation Kit for Dual-Mode Military Unmanned Ground Vehicle for Surveillance Missions","Public administration and defence, compulsory social security"
"The field of autonomous vehicles is an area of great importance nowadays among Intelligent Transport Systems. These autonomous vehicles must meet high standards of robustness, safety and protection to make autonomous driving safer than human driving, thus improving …","[CITATION][C] Autonomy in weapon systems: The military application of artificial intelligence as a litmus test for Germany's new foreign and security policy","Public administration and defence, compulsory social security"
"… UNICA IRIS Institutional Research Information System. IRIS è il sistema di gestione integrata
dei dati della ricerca (persone, progetti, pubblicazioni, attività) adottato dall'Università degli
Studi di Cagliari dal mese di luglio 2015. IRIS Univ. Cagliari; Catalogo Ricerca Università di …","[CITATION][C] The promise and peril of military applications of artificial intelligence","Public administration and defence, compulsory social security"
"[BOOK][B] Data Analytics: The Same Old Next Big Thing for Military OR?","… The sudden popularity of “big data” analytics and data science has fueled discussions between
applied … future motion of the moving target [...] Today such problems would be classified as artificialintelligence … this example is that not only some of the fathers of military OR were … 
","Public administration and defence, compulsory social security"
"[CITATION][C] Study on architecture of big data based on military intelligence analysis and service system","[CITATION][C] The Economic, Security and Military Implications of Artificial Intelligence for the Arab Gulf Countries","Public administration and defence, compulsory social security"
"[CITATION][C] Chinese Advances in Unmanned Systems and the Military Applications of Artificial Intelligence—The PLA's Trajectory Towards Unmanned,'Intelligentized' …","[CITATION][C] Artificial Intelligence and the Military","Public administration and defence, compulsory social security"
"[CITATION][C] Big Data and Artificial Intelligence for Military Decision Making","The Future of Military Automation and Manpower","Public administration and defence, compulsory social security"
"The rapid development in autonomous vehicles and artificial intelligence over the last decade has left most analysts and scholars convinced that the armed forces are facing a large scale change of technology, doctrine and organization. But few if any have addressed …","The Future of Military Automation and Manpower [video]","Public administration and defence, compulsory social security"
"The rapid development in autonomous vehicles and artificial intelligence over the last decade has left most analysts and scholars convinced that the armed forces are facing a large scale change of technology, doctrine and organization. But few if any have addressed …","[PDF][PDF] ARTIFICIAL INTELLIGENCE IN THE MILITARY: MORE THAN KILLER ROBOTS","Public administration and defence, compulsory social security"
"“Artificial Intelligence (AI) is the future.[...] Whoever leads in AI will rule the world”(Russia Today, 2018). This was the central message that President Vladimir Putin conveyed to more than one million Russian school students in September 2017. He also promised to ensure …","Modelling of the Force Protection Process Automation in Military Engineering","Public administration and defence, compulsory social security"
"Article deals with a set of problems linked to a Engineer Force Protection Provision algorithm design and evaluation of input factors series. This algorithm is generally compatible with The NATO Force Protection Process Model adjusting it to a part of engineer forces' decision …","Intrusion Detection of Data Platform Based on Extreme Learning Machine in Civil and Military Integration","Public administration and defence, compulsory social security"
"Design of water supply system from rivers using artificial intelligence to model water hammer","Water hammer phenomena is one of the most destructive parameters for designing the water supply systems. This study aims to design sewage transfer system resistant to water hammers through the application of artificial intelligence. The intake location was selected …","Water supply, sewerage, waste management and remediation activities"
"Machine learning in coupled wildfire-water supply risk assessment: Data science toolkit","The frontier of wildfire-related risk assessment is moving into data science territory, and with good reason. Computational statistics, built on a foundation of high resolution remote sensing data, ground data, and theory, forms the basis of powerful risk assessment tools …","Water supply, sewerage, waste management and remediation activities"
"A supervised energy monitoring-based machine learning approach for anomaly detection in a clean water supply system","Industrial Control Systems are part of our daily life in industries such as transportation, water, gas, oil, smart cities, and telecommunications. Technological development over time have improved their components including operating system platforms, hardware capabilities, and …","Water supply, sewerage, waste management and remediation activities"
"Automation with renewable energy to optimize the exploitation of water supply networks in Ninh Thuan province","The research that was conducted on the water supply network of Phan Rang city, Ninh Thuan province, is aimed at using renewable energy to optimize the management and reduce the water loss. The research has conducted DMA (District Metering Area) setup …","Water supply, sewerage, waste management and remediation activities"
"Applied fuzzy heuristics for automation of hygienic drinking water supply system using wireless sensor networks","About 20% of communicable infectious disease is spread by drinking contaminated water. Hence, a real-time in-pipe drinking water quality system using sensor networks is proposed. The proposed prototype Drinking Water Quality Monitoring System (DWQMS) checks for …","Water supply, sewerage, waste management and remediation activities"
"AUTOMATION OF THE PROCEDURE FOR ENERGY AUDIT WATER SUPPLY SYSTEMS","<U+041C><U+041E><U+0428><U+041D><U+041E><U+0420><U+0406><U+0417> <U+041C>. <U+041C>. <U+043A><U+0430><U+043D><U+0434>. <U+0442><U+0435><U+0445><U+043D>. <U+043D><U+0430><U+0443><U+043A>, <U+0434><U+043E><U+0446><U+0435><U+043D><U+0442>, <U+0434><U+043E><U+0446><U+0435><U+043D><U+0442> <U+043A><U+0430><U+0444><U+0435><U+0434><U+0440><U+0438> <U+0435><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+0435><U+0445><U+0430><U+043D><U+0456><U+0447><U+043D><U+0438><U+0445> <U+0441><U+0438><U+0441><U+0442><U+0435><U+043C> <U+0430><U+0432><U+0442><U+043E><U+043C><U+0430><U+0442><U+0438><U+0437><U+0430><U+0446><U+0456><U+0457> 
<U+0432> <U+043F><U+0440><U+043E><U+043C><U+0438><U+0441><U+043B><U+043E><U+0432><U+043E><U+0441><U+0442><U+0456> <U+0456> <U+043D><U+0430> <U+0442><U+0440><U+0430><U+043D><U+0441><U+043F><U+043E><U+0440><U+0442><U+0456> <U+0412><U+0456><U+043D><U+043D><U+0438><U+0446><U+044C><U+043A><U+043E><U+0433><U+043E> <U+043D><U+0430><U+0446><U+0456><U+043E><U+043D><U+0430><U+043B><U+044C><U+043D><U+043E><U+0433><U+043E> <U+0442><U+0435><U+0445><U+043D><U+0456><U+0447><U+043D><U+043E><U+0433><U+043E> <U+0443><U+043D><U+0456><U+0432><U+0435><U+0440><U+0441><U+0438><U+0442><U+0435><U+0442><U+0443>, 
<U+0412><U+0456><U+043D><U+043D><U+0438><U+0446><U+044F>, <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>, e-mail: moshnoriz@vntu.edu.ua; <U+0413><U+041E><U+0420><U+0411><U+0410><U+041D><U+042C> <U+0410>. <U+0421>. <U+0441><U+0442><U+0443><U+0434><U+0435><U+043D><U+0442> <U+0412><U+0456><U+043D><U+043D><U+0438><U+0446><U+044C><U+043A><U+043E><U+0433><U+043E> <U+043D><U+0430><U+0446><U+0456><U+043E><U+043D><U+0430><U+043B><U+044C><U+043D><U+043E><U+0433><U+043E> …","Water supply, sewerage, waste management and remediation activities"
"… -fuzzy inference system (ANFIS) and Gaussian process for machine learning (GPML) algorithms for the prediction of norovirus concentration in drinking water supply","Monitoring of Norovirus in drinking water supply is a complicated, rather expensive, process. Norovirus represent a leading cause of acute gastroenteritis in most developed countries. Modeling of general microbial occurrence in drinking water is a very active field of study and …","Water supply, sewerage, waste management and remediation activities"
"Automation of water supply and recirculation-filtration of water at a swimming pool using Zelio PLC","The paper proposes the use of the Zelio PLC for the automation of the water supply and recirculation-filtration system of a swimming pool. To do this, the Zelio SR3B261BD-24V DC with 10 digital inputs (24V DC) and 10 digital outputs (relay contacts) was used. The …","Water supply, sewerage, waste management and remediation activities"
"Design and implementation of water supply network automation.","Günümüzde içme suyu sebekeleri hemen hemen her yerlesim bölgesinde mevcuttur ve içme suyu sebekesi yönetimi kaçinilmaz bir sorundur. Özellikle bu sebekeler çogu yerlerde, kisilerin inisiyatifine bagli olarak kontrolsüz bir sekilde yönetilmektedir. Bu sebeple enerji …","Water supply, sewerage, waste management and remediation activities"
"Identification of urban drinking water supply patterns across 627 cities in China based on supervised and unsupervised statistical learning","… Moreover, studies using recent machine learning techniques on data related to urban water
distribution … 5) water supply finance (eg company revenues and costs); and (6) water supply prices …
Unlike supervised learning, unsupervised learning models are not used for prediction … 
","Water supply, sewerage, waste management and remediation activities"
"Internet of things and Big Data as potential solutions to the problems in waste electrical and electronic equipment management: An exploratory study","Abstract Management of Waste Electrical and Electronic Equipment (WEEE) is a vital part in solid waste management, there are still some difficult issues require attentionss. This paper investigates the potential of applying Internet of Things (IoT) and Big Data as the solutions to …","Water supply, sewerage, waste management and remediation activities"
"Healthcare Waste Management and Application Through Big Data Analytics","Healthcare is one most rapidly growing and largest sector in India. Healthcare comprises hospitals, medical devices, clinical trials, telemedicine, health insurance and medical equipment. Such a large industry generates huge amount of waste such as syringes …","Water supply, sewerage, waste management and remediation activities"
"Big Data In Construction Waste Management: Prospects And Challenges","'Big data'has been rapidly sprawling in various research disciplines such as biology, ecology, medical science, business, finance, and public governance but rarely in construction waste management (CWM). The CWM community around the world generally …","Water supply, sewerage, waste management and remediation activities"
"Role of automation in waste management and recent trends","With the technology human needs are growing and the need arises for a system to manage it, maintain it and make it hassle free for the users. Let us take an example suppose you have to take attendance of 100 students daily which is a tedious and time consuming job …","Water supply, sewerage, waste management and remediation activities"
"Preparing for the Use of Big Data in Denmark's Waste Management Sector","This project explored the challenges and opportunities associated with prospective implementations of big data analytics in Denmark's waste industry. We found that while some waste management companies collect detailed data, they do not use or share their …","Water supply, sewerage, waste management and remediation activities"
"Automation of Smart waste management using IoT to support “Swachh Bharat Abhiyan”-a practical approach","“Swachh Bharat Abhiyaan” is a national campaign initiated by the Government of India, which covers 4,041 cities and towns, to clean the streets, roads and infrastructure of the country. The main motto of the mission is to cover all the rural and urban areas of the …","Water supply, sewerage, waste management and remediation activities"
"The Use of Modern Technology in Smart Waste Management and Recycling: Artificial Intelligence and Machine Learning","Waste management is one of the primary problem that the world faces irrespective of the case of developed or developing country. The key issue in the waste management is that the garbage bin at public places gets overflowed well in advance before the commencement of …","Water supply, sewerage, waste management and remediation activities"
"Project bases for the automation of a quality assurance system in radioactive waste management","[en] The design, operation and decommissioning of a radioactive waste treatment and storage unit requires the compliance with the regulatory requirements for nuclear quality assurance, in accordance with the CNEN-NN. 1.16-'Quality Assurance for the Safety of …","Water supply, sewerage, waste management and remediation activities"
"Machine learning approach to integrate waste management companies in micro grids","The integration of renewable energies in a local industrial environment is an urgent task to reduce greenhouse gas emissions. Their energy intensive processes and local energy generation make waste management companies to optimal areas to analyze micro grids …","Water supply, sewerage, waste management and remediation activities"
"A framework of developing a big data platform for construction waste management: a Hong Kong study","Big data has shown great potentials in improving management discretion in many areas. The applications of big data in areas such as finance, computer science, health care and medical science have made continued success. Despite of big data's potentials, its …","Water supply, sewerage, waste management and remediation activities"
"Alert remediation automation","Technical solutions to automate alert remediation are described. One aspect includes a method that includes receiving a plurality of alerts from an application monitoring system, the plurality of alerts associated with a plurality of remediation procedures respectively. The …","Water supply, sewerage, waste management and remediation activities"
"Alert remediation automation","Technical solutions to automate alert remediation are described. One aspect includes a method that includes receiving a plurality of alerts from an application monitoring system, the plurality of alerts associated with a plurality of remediation procedures respectively. The …","Water supply, sewerage, waste management and remediation activities"
"Remediation, convergence, and big data: Conceptual limits of cross-platform social media","The era of multiplatform media and big data provide new opportunities to reconsider data access by media companies. Outlined here is the discussion surrounding data access from media institutional logic and user-centric perspectives in the contexts of digitalization and …","Water supply, sewerage, waste management and remediation activities"
"Groundwater Remediation through Pump-Treat-Inject Technology Using Optimum Control by Artificial Intelligence (OCAI)","Abstract Optimum Control by Artificial Intelligence (OCAI) is presented in this paper as a dynamic decision making algorithm for optimising pumpage schedule to remediate a contaminated aquifer using the Pump, Treat and Inject (PTI) method. OCAI integrates three …","Water supply, sewerage, waste management and remediation activities"
"Apparatus and method of leveraging semi-supervised machine learning principals to perform root cause analysis and derivation for remediation of issues in a …","Embodiments of the innovation relate to a host device having a memory and a processor, the host device configured to determine an anomaly associated with an attribute of a computer environment resource of the computer infrastructure. The host device is configured …","Water supply, sewerage, waste management and remediation activities"
"Apparatus and method of adjusting a sensitivity buffer of semi-supervised machine learning principals for remediation of issues in a computer environment","In a host device, a method for performing an anomaly analysis of a computer environment includes applying a learned behavior function to a data training set and to a set of data elements received from at least one computer environment resource to define at least one …","Water supply, sewerage, waste management and remediation activities"
"… ANALYSIS OF SATURATED PORE SPACE: HOW IMAGE SEGMENTATION AND MACHINE LEARNING CAN BE APPLIED TO GROUNDWATER REMEDIATION","Groundwater reservoirs are distinguished by the petrophysical characteristics that condition their capacity to store (ie reservoir porosity) and transmit (ie reservoir permeability) significant volumes of groundwater that can be exploited by society (Feitosa et al., 2008) …","Water supply, sewerage, waste management and remediation activities"
"… del processo di remediation: soluzione automatica di anomalie frequenti su server in Intesa Sanpaolo Group Services ScpA= Remediation Process Automation …","Il presente elaborato mira a ripercorrere i passi principali del “Progetto Self-Remediation” condotto in Intesa Sanpaolo Group Services Scpa–Direzione Sistemi Informativi. La mission del progetto risulta l'introduzione della scoperta e della risoluzione automatica di anomalie …","Water supply, sewerage, waste management and remediation activities"
"[PDF][PDF] Urban big data: city management and real estate markets","In this report, we discuss recent trends in the application of urban big data and their impact on real estate markets. We expect such technologies to improve quality of life and the productivity 
of cities over the long run. We forecast that smart city technologies will reinforce the primacy of …","Real estate activities"
"Automation of the technical due diligence with artificial intelligence in the real estate industry","Over the real estate lifecycle numerous documents and data are generated. The majority of building-related data is collected in day-to-day operations, such as maintenance protocols, contracts or energy consumptions. Previous successes in the classification already help to …","Real estate activities"
"[PDF][PDF] Big Data in Real Estate? From Manual Appraisal to Automated Valuation","August 2016 and makes up, on average, 5.1% of any institutional portfolio (Andonov, Eichholtz, and Kok [2013]). Determining the value of commercial real estate remains elusively hard, however, with a workforce of 74,000 appraisers in the United States alone …","Real estate activities"
"[BOOK][B] Real Estate Analysis in the Information Age: Techniques for Big Data and Statistical Modeling","The creation, accumulation, and use of copious amounts of data are driving rapid change across a wide variety of industries and academic disciplines. This 'Big Data'phenomenon is the result of recent developments in computational technology and improved data gathering …","Real estate activities"
"Real estate bubble prediction based on big data","Disclosed herein are a computer apparatus, non-transitory computer readable medium, and method for predicting real estate bubbles based on big data analysis. Historical variable data associated with real estate assets are obtained from remote data sources. Portions of …","Real estate activities"
"[PDF][PDF] Digital Cities: Real Estate Development Driven by Big Data","Urban environments are composed of urban population, urban infrastructure, city governance and commercial markets within cities. The rapid growth of emerging technologies for sensing and communicating data is being leveraged by commercial …","Real estate activities"
"Artificial intelligence and machine learning: current applications in real estate","Real estate meets machine learning: real contribution or just hype? Creating and managing the built environment is a complicated task fraught with difficult decisions, challenging relationships, and a multitude of variables. Today's technology experts are building …","Real estate activities"
"A Novel Architecture and Machine Learning Algorithm for Real Estate","The real estate industry is a hot topic and the factors of a house which affect the investment benefit is worth of research. This paper designs a novel machine learning assisted real estate industry investment guidance (MLRIG) architecture and a machine learning algorithm …","Real estate activities"
"Understanding real estate investments through big data goggles: A granular approach on initial yields","Purpose This paper aims to develop a conceptual understanding and a methodological approach for calculating residential net initial yields for both a buy-to-hold and rental investment strategy from hedonic models. Design/methodology/approach The markets …","Real estate activities"
"Urban data streams and machine learning: a case of swiss real estate market","In this paper, we show how using publicly available data streams and machine learning algorithms one can develop practical data driven services with no input from domain experts as a form of prior knowledge. We report the initial steps toward development of a real estate  …","Real estate activities"
"Comparison of expert algorithms with machine learning models for real estate appraisal","Machine learning models require numerous training examples to provide reliable predictions of real estate prices. Expert algorithms could be applied wherever only several training samples are available. The accuracy of two expert algorithms based on the sales …","Real estate activities"
"Identifying Real Estate Opportunities Using Machine Learning","The real estate market is exposed to many fluctuations in prices because of existing correlations with many variables, some of which cannot be controlled or might even be unknown. Housing prices can increase rapidly (or in some cases, also drop very fast), yet …","Real estate activities"
"Research on Population Distribution Model Based on Real Estate Big Data","Population distribution is one of the important factors that affects social economic vitality, infrastructure construction, public service allocation, transportation, resources and so on. Obtaining high density urban population distribution could lay a foundation for urban …","Real estate activities"
"News-based sentiment analysis in real estate: a machine learning approach","This paper examines the relationship between news-based sentiment, captured through a machine learning approach, and the US securitised and direct commercial real estate markets. Thus, we contribute to the literature on text-based sentiment analysis in real estate  …","Real estate activities"
"News-based sentiment analysis in real estate: A supervised machine learning approach with support vector networks","With the rapid growth of news, information and opinionated data available in digital form, accompanied by a swift progress of textual analysis techniques, the field of sentiment analysis became a hotspot in the area of natural language processing. Additionally …","Real estate activities"
"Machine Learning Vs. Spatial Econometric Models: Modeling the Impact of Transportation Infrastructure on Real Estate Prices","Linear regression with Ordinary Least Squares and spatial econometric models are statistical methods widely employed to measure the impact of transportation infrastructure locations on real estate prices. Efthymiou and Antoniou (1, 2, 3) developed different types of …","Real estate activities"
"A Novel Architecture and Machine Learning Algorithm for Real Estate","The real estate industry is a hot topic and the factors of a house which affect the investment benefit is worth of research. This paper designs a novel machine learning assisted real estate industry investment guidance (MLRIG) architecture and a machine learning algorithm …","Real estate activities"
"Business Expanding and Strategic Decision-Making Innovation for Real Estate Valuation Companies Based on Big-Data","With the penetration of large data on real estate and related industries, real estate appraisal industry is not only faced with technical challenge of processing huge amounts of data, but also with the innovation of strategic decision-making. This paper starts with the current …","Real estate activities"
